AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
-28,153,27,-393,-330,-130,-22,46,-23,15,9,-718,-48,-14,32,-97,-149,-795,-60,-61,-3,-334,93,-417,-66,10,62,360,99,-224,-76,-26,-3,116,325,-309,-67,18,-43,-33,-23,-774,-78,-147,59,-540,-53,357,15,70,12,96,134,705,66,99,-21,337,46,399,-42,-132,-5,58,-386,682,40,87,11,547,102,505,-27,-102,-17,38,-397,1044,9,89,39,-137,500,351,-74,-176,-99,-134,-381,726,-19,82,100,780,-225,1462,21,51,-7,-519,586,132,27,70,-24,869,-160,190,72,12,2,-106,-280,-181,78,46,-10,-260,285,-35,down
90,6,-22,-58,13,-765,70,-2,-36,7,-18,-286,53,5,-13,-359,-106,-649,39,2,5,376,51,-481,21,-62,-28,-707,59,-516,-1,-28,-17,213,-80,-206,3,-42,15,-145,74,-285,-3,-19,-14,-120,5,-86,-14,-27,12,83,-67,18,-10,-24,2,-182,140,97,-29,151,24,-315,-7,-254,15,58,-10,657,-73,-302,-57,-23,-10,-1091,-48,-710,-17,28,50,81,-138,-440,-88,-47,22,-32,51,-390,-111,-37,11,616,143,-552,-80,-75,9,-227,-115,-69,-38,-44,-23,226,80,79,15,49,32,-248,-115,-66,-24,-117,-4,-352,342,1248,down
86,209,-3,833,-19,131,-50,-212,13,-214,80,883,71,189,-30,639,-100,958,-15,19,-31,-191,-90,210,-61,-107,16,-47,-211,137,-3,-27,6,165,-32,1006,-12,81,16,232,-54,714,25,-45,2,-160,-79,460,27,91,9,606,-114,250,64,-22,-8,-288,257,71,87,75,-27,-100,93,-781,63,-22,-20,-295,132,-743,49,-23,6,286,-98,-493,25,14,-26,-201,194,-360,12,-32,10,233,-203,-86,36,12,-32,-489,179,-362,5,-32,-6,5,-28,-369,-3,-55,-10,-337,49,-14,6,-7,-10,367,-236,-36,-11,-16,15,-441,85,-77,down
-49,142,38,-309,-90,-951,-26,-53,-1,191,87,-217,-48,12,-21,-429,-127,-182,-68,-15,85,205,-4,-479,-56,33,-20,610,328,-554,-73,-76,-3,-320,-161,-434,-36,-11,0,-475,-196,152,4,-69,41,247,401,588,-18,-2,-42,267,-132,194,49,118,68,249,593,908,-50,-103,-122,-816,-482,-263,103,273,-12,1363,-524,2454,-53,-254,96,-161,14,-210,-40,4,-20,214,93,753,-20,-74,-23,-278,-46,994,32,150,14,81,-51,31,30,-56,14,-112,103,18,40,72,-3,404,104,194,81,29,-14,-106,-22,-665,67,10,-22,4,112,-494,down
29,-55,-29,-212,-148,-438,24,23,37,182,65,-194,33,-29,-32,-109,67,-214,19,10,1,-231,-20,-212,26,-20,-23,107,71,-166,9,7,-8,-195,-98,-216,1,-28,17,-83,123,-106,16,11,-7,63,73,-85,-3,-28,-43,-378,-42,-194,-3,-8,52,295,-85,-37,-131,88,27,-572,134,-1500,-58,-2,18,73,-297,-419,-75,-98,17,71,375,-26,6,25,-15,61,-66,195,-48,-41,-22,-149,-114,10,-9,26,65,370,144,131,4,19,-47,-81,-198,280,-7,11,21,272,155,-37,-18,-25,-23,-322,114,-44,-41,-255,2,-642,-250,89,down
121,519,-44,1786,269,2592,-51,-284,32,-787,-341,-1049,-63,-162,2,-447,-467,1646,0,187,67,613,557,628,29,-14,-63,-129,142,92,32,46,22,411,-247,150,48,24,17,138,-32,-193,50,19,-10,-127,95,-337,68,-17,-33,-78,47,-294,35,-3,-14,98,-224,-313,23,-18,7,-166,6,-142,36,33,2,18,86,-171,28,16,-20,-185,122,-376,16,0,-4,-161,10,-338,35,-2,-17,114,80,-211,-3,-42,-15,-275,-83,-405,-16,-67,27,-87,99,-132,-4,-20,-35,-41,-93,273,2,37,41,297,-59,-103,-18,-44,-29,-144,176,12,down
-3,152,50,-2,-345,4,-7,37,-6,-134,566,-478,-23,29,-42,-333,-641,-224,-84,-39,76,199,320,-1259,-54,-70,-41,-96,-54,-9,-80,-24,69,-176,85,-252,-32,-19,-10,329,146,-142,-41,-84,-43,-529,-285,135,-8,25,101,608,387,305,1,9,-122,-39,-126,183,13,2,54,368,-169,624,-15,-50,-2,-442,62,344,-7,-150,16,1080,127,2070,120,424,-77,-840,29,-1337,-96,-285,5,-89,-567,515,-75,-47,71,-170,36,1777,55,156,-3,640,275,-166,9,-65,-8,-96,2,338,19,45,9,267,-156,393,58,74,-2,53,123,-230,down
62,6,-9,17,-56,-491,53,-11,-23,-34,111,-378,6,-31,-6,-78,-281,-259,33,14,25,83,216,35,49,20,-53,-133,-86,-242,33,23,15,-200,113,-180,27,16,-15,193,16,-499,17,-28,-6,-174,182,-244,-2,-31,-56,-510,-204,-366,-15,-58,64,301,49,-52,-36,159,31,0,-19,-56,-41,-3,-29,-612,179,-884,-17,-22,18,170,-156,-288,-83,-53,-30,-142,36,-569,-46,25,71,472,-192,-304,-92,-136,-55,-693,191,-193,-22,-22,43,716,31,211,-23,-69,-9,-582,-169,630,33,86,33,516,568,439,40,86,-67,297,-401,51,down
-25,-125,39,-740,-160,157,-5,-29,10,1224,146,1344,30,186,-22,-584,176,110,3,-39,-52,-462,-257,-183,-86,-195,56,426,-372,982,1,96,38,157,414,1062,39,71,-34,72,52,-66,29,-1,-5,150,-215,80,33,41,26,208,-58,-88,51,12,-9,-123,127,-238,48,10,-22,187,59,-185,50,18,-11,-68,-191,-364,31,-5,-8,-149,97,-314,18,-2,0,-52,28,-247,31,9,-25,147,42,-399,16,-17,9,-410,-47,-257,5,-44,-12,-85,278,-113,7,-8,-26,-269,-83,-214,-8,-33,9,160,-153,-30,-13,-25,16,-25,32,17,down
-27,159,44,-210,1,-600,-34,-15,-14,-124,132,-306,-36,12,16,190,92,-484,-67,-94,-21,-572,-53,-198,-46,31,37,348,-307,-150,-15,-68,14,-50,511,-194,-50,-27,-40,11,-307,25,-4,-6,38,295,-194,247,-11,-23,-40,4,102,346,8,98,47,330,-93,237,3,-51,-8,-1001,388,61,-98,-235,58,2219,-329,3004,212,578,-143,-1946,435,-2991,-133,-431,8,568,-834,1360,-38,-3,102,-205,321,1562,36,111,-48,194,242,1,8,-32,-8,189,-345,217,5,-6,45,-18,113,388,42,63,-4,406,190,-13,55,-7,-38,23,-109,-282,down
