AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
-68,-16,-143,470,-1589,-138,4,53,-43,-5,-378,325,-8,16,25,-192,-570,-155,4,10,24,36,-329,-51,-13,7,35,15,-433,-245,-24,-43,51,88,-82,147,-11,18,21,204,-136,18,21,-1,74,194,313,142,38,43,-10,-843,352,-364,23,-31,19,-87,213,52,36,-9,-2,197,277,-65,-9,-17,-76,129,-138,-81,-23,10,77,-133,77,-43,11,16,-16,245,364,-1,-19,-58,22,-69,207,312,13,57,-12,-26,357,-74,0,-9,-28,-253,-174,-31,13,20,71,366,301,76,-7,-43,36,-89,536,-9,3,-27,21,199,224,115,left
-11,14,-37,-62,244,187,-19,14,32,31,463,30,-6,18,-60,-105,247,91,-3,34,16,144,201,41,-3,17,-53,-286,547,-193,-27,-51,-11,172,-157,-165,-23,-7,-11,3,290,212,-20,-21,-23,257,381,90,13,54,-84,-129,-233,49,-15,-34,-8,-392,483,-287,121,2,101,271,-2957,133,2,9,-42,86,339,-164,-6,14,-31,-69,-142,-44,-7,-8,34,-88,144,-165,4,4,-23,17,-91,234,-9,-24,0,-206,-81,-105,5,9,-3,126,-55,15,-1,-5,19,50,-56,12,2,6,-16,-28,-8,67,2,10,24,68,94,-2,left
14,35,-22,-44,-71,-114,-1,-35,26,-124,81,-156,-18,-31,-8,138,113,101,-18,-1,-3,-56,-83,142,5,2,9,183,66,0,6,22,-33,16,-200,158,20,33,31,-86,57,-207,-4,-44,-22,-175,23,-64,0,-2,20,-18,54,120,-18,20,-12,94,116,34,4,2,-5,-50,-120,-46,-6,-21,11,24,76,-29,5,23,-9,-14,-121,3,-3,-10,14,27,24,32,0,-8,1,-50,47,7,3,13,-2,55,-14,-51,4,-15,-11,88,22,77,8,14,-3,-108,-151,-79,-5,3,31,116,105,11,5,1,-23,-65,2,39,left
-51,-17,-156,-80,-313,-123,-80,-85,-114,-333,-561,297,-3,89,-77,540,-945,77,-79,7,-1,-340,-1356,-92,-52,42,186,810,-1009,-75,-72,-40,152,-461,-338,-488,43,-1,164,971,329,159,65,2,31,-1462,1283,-434,77,-2,47,981,469,-34,74,-11,-42,-183,683,154,40,-4,-105,-1264,523,-51,2,-53,14,419,27,329,3,21,63,142,470,231,46,18,24,221,242,-7,-5,11,43,79,774,98,7,-3,-64,113,371,-39,-7,12,4,85,200,49,-50,-44,-3,-336,498,128,-14,21,6,408,480,130,-29,20,-114,-370,209,-8,left
-20,-10,13,130,105,148,-14,27,-63,-244,115,29,7,-9,14,480,134,-31,-4,19,-72,-851,-75,-37,19,7,58,146,-24,-242,9,-10,-18,324,-139,-47,-30,-12,12,825,116,54,17,9,-114,-1045,75,118,21,27,97,764,-181,-321,28,27,-126,-626,-735,133,30,-72,147,-63,-1609,-271,21,-2,3,429,290,80,-6,-26,-31,-209,-182,12,5,26,35,66,66,80,-1,17,-5,31,124,-136,-21,-6,-46,-98,-8,49,-24,-11,-90,-214,-435,59,-16,-52,-29,97,-548,146,-6,19,-55,304,-215,-64,-44,6,-35,-255,-954,238,left
-17,84,148,571,-448,-83,-10,19,-17,-402,-208,-370,-20,-24,96,24,-132,-68,-9,-9,41,-56,33,-259,17,-26,25,-76,40,74,31,10,47,-295,224,-68,48,0,69,717,331,-21,5,-37,-76,-696,412,-122,12,-26,50,316,24,459,24,52,-21,323,411,-199,17,-42,-44,-154,381,49,19,21,41,-319,10,6,16,0,-6,195,457,82,-7,-31,1,-341,2,-24,-8,-20,43,277,552,328,19,48,-38,-58,231,-17,1,-1,27,152,355,91,-23,-9,20,67,247,3,-23,3,-6,11,476,175,-18,31,-36,-131,332,30,left
-32,32,-168,-507,431,37,-21,-62,22,118,53,-379,35,44,17,-7,-413,18,-18,8,34,930,142,-91,-12,-29,-48,-562,89,57,-4,-21,-21,-93,-16,25,8,21,46,501,-273,-10,-2,-21,-121,-678,113,222,31,53,87,403,-749,-170,-5,-48,-116,-295,87,42,20,31,55,397,-580,-141,20,20,13,-440,-136,-92,3,-21,15,210,-252,4,-1,-23,64,-308,-101,-88,-10,-11,-51,286,134,129,-21,-28,-47,-396,-473,0,-21,-19,11,257,-150,236,5,57,-49,141,-427,224,-14,36,-14,-113,-659,-148,6,36,34,26,-300,-186,left
-60,-60,-38,-535,-766,-136,-28,0,150,759,-346,132,-5,6,15,-306,154,-126,36,34,71,1327,419,-77,-12,-28,-59,-1616,-580,-357,24,-26,57,109,495,327,11,37,38,166,-186,-316,9,-36,46,53,573,211,17,-5,-58,-139,350,178,33,35,-3,87,64,-112,-42,-22,-153,252,3710,210,10,10,22,-184,-337,-12,-11,-33,-14,188,-41,-33,25,46,1,38,-351,34,-2,8,60,134,73,-234,13,-29,-87,-517,-215,367,-9,-21,13,281,-228,-9,37,83,2,139,-331,-201,-15,-52,-16,-132,-228,-26,7,-16,7,-64,-202,36,left
-7,-25,44,9,-220,40,14,36,16,6,73,43,8,-15,-19,-331,-149,-55,-3,-5,59,355,-17,67,-10,-5,-34,-135,171,90,-10,-8,-71,15,-292,-42,-16,0,-9,250,-299,153,-6,29,-45,-27,-497,18,-12,-28,10,-181,-267,-28,-12,6,37,41,-565,93,-9,38,56,260,-45,-29,-7,2,-52,-74,7,-23,-4,7,11,45,-533,-342,-8,-15,32,-244,-446,-127,-24,-44,103,91,74,79,36,53,-17,602,217,113,1,-4,0,-646,12,-152,15,10,108,373,33,-120,41,-36,-26,-261,760,143,25,22,-19,150,262,-237,left
-111,-59,-94,-430,4122,628,38,106,12,60,-446,-117,-19,-112,-69,-683,406,44,19,116,81,1787,-344,-170,-36,-87,-161,-1068,418,271,41,66,47,482,-807,-572,8,-56,-69,-744,-480,487,14,22,73,782,-40,-518,28,12,-88,-924,-846,204,-4,-61,62,-283,326,230,32,45,26,752,-706,-249,-14,-28,56,-465,86,31,17,19,-16,621,-328,159,0,18,53,-265,-20,-132,3,-8,-24,252,89,11,-11,-32,11,-218,-24,62,14,44,24,325,-11,-90,-19,-35,-47,-258,61,12,-38,-27,-78,21,-276,214,-19,-10,-120,250,-291,101,left
