AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
-112,-32,-113,-32,2180,-75,60,56,78,-185,-659,249,-11,-25,-73,-6,47,-101,13,7,-3,-566,-630,60,80,82,102,1111,-59,-720,-71,-140,-170,-132,-790,156,-52,-23,24,-65,-446,153,-10,21,6,-7,-479,246,1,57,32,-41,-514,-103,-20,25,3,-334,-421,97,6,39,102,-47,-273,-18,2,-88,-83,664,-211,-257,-33,5,121,-815,-286,334,31,35,-3,115,230,-86,29,16,78,151,323,-29,31,14,8,363,281,-81,19,-15,62,-107,513,-46,19,-32,-63,151,532,-70,0,-58,-16,16,238,141,15,38,-2,-56,236,-127,right
0,-12,-30,-381,321,116,-3,6,-4,228,29,37,3,15,-44,-73,109,14,-13,0,-1,-70,-71,42,2,11,1,239,55,69,-1,-13,-34,-135,-31,21,7,16,27,-61,-57,-14,-4,-6,3,57,26,30,1,6,-14,44,-103,-34,-2,-8,17,-4,37,-44,11,-3,158,162,769,170,-13,-30,-33,-112,641,168,-8,42,-10,61,7,89,-31,-40,8,-417,677,-50,-25,55,-50,335,168,45,-20,-38,-81,-75,465,-255,22,55,-2,89,-398,-114,-26,-45,-35,161,35,-194,13,33,-16,-13,-470,128,-16,-17,-18,75,-49,-463,right
-12,5,-14,-328,-328,724,8,10,23,-67,-153,-313,14,-18,-14,-334,110,159,47,65,-26,118,-321,-297,-36,-145,-2,-678,-278,-192,62,-6,-78,1796,-868,387,-42,156,73,-790,-401,-83,-74,-109,-71,-94,-505,-111,-8,5,-15,-155,-792,35,-25,4,104,-354,-596,492,8,10,33,316,-455,190,2,11,89,546,44,-329,-14,30,-58,-579,-743,362,41,49,177,417,717,-403,6,-40,-73,-527,-248,-276,53,0,145,794,966,140,23,-61,-131,18,414,-307,12,25,20,34,383,261,29,13,-8,-274,344,-232,8,-57,22,-306,375,32,right
-12,32,-155,226,427,244,3,13,44,28,-72,-80,-3,-24,-19,-160,117,78,4,33,23,143,-59,64,-5,-15,0,-71,131,-83,4,24,-16,-7,-21,41,-3,-36,-7,-113,-80,-79,-1,28,32,82,15,56,0,-12,-15,200,131,-51,-7,-14,-3,-258,-23,64,9,28,11,138,36,22,1,0,-11,-40,-81,-69,-3,-36,60,-63,92,48,0,4,10,54,159,119,1,3,76,61,381,165,-10,8,15,-5,847,-31,-24,18,-56,113,219,60,-19,-8,-11,83,477,-84,-29,-4,-54,-375,13,124,-20,-14,9,98,415,-168,right
-12,19,-28,132,103,-12,-13,18,-80,370,70,140,13,6,-18,-428,-316,-226,19,0,-64,103,-332,-254,30,-28,-17,-593,-847,245,14,0,101,146,-258,-312,25,33,-18,434,-375,207,-36,-43,-24,-80,-5,-374,-2,-5,-3,79,-586,224,-19,-16,-57,-136,-537,156,2,89,150,-211,-2277,357,-10,-112,45,477,311,-766,-3,30,30,-342,-306,781,44,44,11,339,823,-323,11,1,-13,-231,-184,-115,8,19,29,-192,265,-110,11,-43,-49,181,518,-108,10,22,18,75,63,88,-4,-35,5,-154,305,107,25,55,-13,199,82,0,right
-6,-23,-9,-152,213,-96,0,-33,64,-61,289,26,6,15,-60,183,313,-149,0,-8,-25,39,-12,343,-17,-9,7,-198,137,-255,2,8,-38,56,-255,414,-5,3,30,-48,311,-221,8,8,-27,168,-58,-32,0,-4,-5,-178,-119,33,-5,-13,10,66,36,4,6,19,7,23,17,-60,-9,-2,-17,-176,-25,116,6,15,16,171,-24,-78,-4,-29,3,99,22,12,1,-4,39,-54,142,98,7,13,33,27,78,122,-16,-30,73,346,394,183,-12,4,-46,-264,605,107,7,27,-6,73,364,-26,-30,3,-60,-510,374,81,right
-10,42,-161,441,-504,-462,-12,-82,-14,-221,-505,-141,30,32,-42,266,-610,22,-4,9,58,-688,-391,186,2,39,5,611,-396,-159,-21,-44,-9,-583,-527,167,-11,-11,57,158,-154,-86,-6,-10,-37,173,-281,-37,-6,26,18,357,-273,-53,-2,-4,-35,-535,-479,71,15,41,106,314,-134,47,-11,-16,-65,233,-331,-158,-7,1,64,-749,-180,6,16,4,31,542,263,-109,17,14,68,-225,165,-215,17,-30,-94,514,455,86,10,1,107,-382,-73,-96,24,-19,-6,-329,911,94,9,36,-29,446,18,63,-6,-41,24,-427,577,46,right
19,3,8,288,291,-21,6,15,-55,135,281,-138,-8,-12,-45,-172,-303,301,-16,-6,45,191,261,-48,0,1,-54,-20,8,-69,1,-1,-1,-178,-46,131,3,25,23,108,-39,2,-4,-13,-2,-68,7,-64,9,6,-12,92,-47,62,-16,-17,14,-172,60,-2,-70,-5,-146,209,2254,152,39,49,43,-182,-794,-68,6,-23,-15,-205,-349,293,-20,9,46,582,222,-582,8,-15,-82,-300,-770,96,22,-22,80,49,-6,204,3,33,-26,21,-337,-196,-9,-18,60,37,-120,99,-2,19,-43,11,-47,-15,-5,-19,-26,-254,-484,64,right
-12,-4,-1,139,11,-152,-10,-3,-42,-40,-594,43,-23,-22,23,-156,-578,316,4,54,53,-69,-43,67,16,6,-4,203,-231,-208,-25,-13,-8,16,-274,-150,7,4,75,-295,-223,177,-1,-34,-39,550,300,-243,-4,45,-7,-519,-594,108,15,-1,81,305,140,-159,8,-30,13,-227,-75,-49,25,15,67,313,351,46,18,16,6,-80,508,-159,8,-41,25,-32,751,131,22,-2,-20,-43,452,97,6,-18,-16,-56,319,-221,-1,39,-49,425,186,371,-5,-22,-19,-140,251,-229,-6,-11,-33,-18,-141,154,5,33,-3,-265,-170,5,right
-7,-78,144,-143,341,752,20,33,135,1000,827,-32,-63,36,-59,-245,1328,-21,-38,33,-126,-902,621,-215,-6,-21,-75,515,-179,-108,12,61,-26,229,-28,-552,-8,-81,-87,-553,-594,396,20,62,91,482,-41,-398,-75,-18,-4,216,47,-137,-29,-44,-70,-318,298,391,30,16,-84,-403,-382,130,15,-51,-11,-562,-586,722,50,70,-10,1392,-309,-985,-6,-89,-105,-566,-1512,664,-28,40,72,-807,-293,-900,-28,-57,10,1012,-1269,619,1,44,33,-295,-367,-103,-39,40,33,242,-615,23,9,67,67,-181,-633,192,0,-29,75,109,201,-643,right
-28,-63,12,-1083,-641,457,70,96,168,1491,900,386,40,25,-25,-415,268,-1031,33,-96,37,10,771,-55,15,-21,10,400,916,218,40,-23,-48,-774,307,157,9,48,4,696,680,-203,-14,-66,-96,-374,-64,298,11,66,-15,321,499,-187,-1,-30,-45,-217,-235,241,-2,-2,158,406,294,233,-21,34,-9,-165,696,-5,-27,-43,-54,-940,569,-63,-31,22,20,442,308,310,-15,40,-33,317,405,-196,-31,-53,-42,-397,505,-205,19,60,-36,-56,-54,165,-49,-17,-9,539,271,-136,7,-2,-87,-437,-195,-212,4,13,12,543,-373,-284,right
8,-68,-54,-627,-449,237,18,-12,-17,344,-688,29,44,81,22,55,-522,270,9,5,4,-92,-352,-573,-42,-137,-14,-486,-888,221,-9,74,16,571,-424,215,-15,-45,-41,-488,-582,307,-12,34,24,271,-408,-5,2,33,-15,141,-852,174,-8,65,62,-347,-719,152,-15,-12,65,321,-161,-405,16,39,71,268,65,-494,14,-69,50,-242,341,31,14,-13,62,156,632,-141,55,-26,59,-2,824,30,37,14,-58,-257,912,-54,13,-25,-51,-137,236,149,0,16,-42,74,312,355,17,27,-10,169,131,-215,3,-20,-35,54,104,13,right
-25,16,154,357,876,324,-23,-39,-52,210,489,17,-22,-46,-20,-437,574,222,-57,71,-25,-356,269,307,-4,51,2,-128,820,-199,-41,43,-89,632,534,-492,-26,-116,-142,-1257,-312,-129,50,87,92,1343,-464,-310,-18,-44,-132,-495,-578,332,21,23,92,289,-623,-564,18,-76,-53,52,-655,652,90,111,51,-385,-385,-443,-105,-176,-93,-493,-761,346,41,115,213,667,-91,111,-21,-23,-172,195,-573,-34,-39,-38,-26,-747,-137,52,-23,12,1,482,-866,223,2,51,32,-210,-719,95,20,54,103,-139,-516,-179,7,-16,30,324,40,-575,right
1,-26,48,-238,-137,54,28,-3,34,-47,492,246,34,26,45,188,-163,-75,14,-45,-67,156,695,-248,4,14,34,-215,-128,162,38,4,92,161,922,-144,10,-31,-67,-174,354,-58,11,-23,27,-207,625,208,4,9,-55,229,401,75,3,17,-38,472,77,-28,-139,-44,-84,-485,2852,-178,46,108,13,429,-534,499,-38,-76,-52,40,78,-650,43,1,-83,-597,-1088,837,40,90,112,488,-793,-436,-36,-97,26,-206,71,-94,20,55,-7,199,192,-130,-9,-5,-14,163,-306,-131,-40,-66,-2,-199,211,126,77,113,38,-479,-665,568,right
-30,-81,-44,358,330,-605,7,18,21,-342,-445,115,-43,-63,-57,414,93,-250,-17,-12,-33,-83,-714,634,-7,42,19,6,-376,127,2,52,4,68,-288,192,5,45,-28,-269,-567,-395,-21,-79,27,-265,-439,-115,-6,-4,18,-79,-651,462,5,77,185,395,240,-505,35,-41,-116,956,270,-436,-2,-18,68,-1375,-81,424,38,13,30,195,446,-52,31,7,44,83,277,-201,9,-29,2,-57,471,-113,-9,-41,2,-28,850,460,34,58,-57,121,61,-35,-11,-18,3,181,472,-30,12,14,-34,244,-29,-22,-1,-24,-82,-407,70,100,right
-9,15,159,169,128,145,-12,-11,43,117,701,67,13,59,-41,588,256,-109,-38,-48,-39,-665,372,11,-22,12,-2,883,302,-123,-35,-32,-83,-955,389,387,12,45,19,658,-29,-195,-17,0,-45,-29,12,-64,-20,-69,-43,-756,128,209,32,86,-2,242,-494,108,-11,-9,7,99,65,-403,14,-4,15,67,-70,-145,-15,-51,-77,-118,-281,285,31,11,11,-138,-467,157,36,38,20,69,-338,-390,7,-51,36,-189,-134,113,-8,30,19,188,-120,-160,-15,-6,-11,120,-273,99,-7,-6,-55,-242,-448,85,-3,-11,-2,-257,-4,-55,right
-42,15,-15,391,-367,-147,-32,-46,-106,5,-704,258,-16,58,63,-581,-912,331,6,26,34,1017,-386,-694,-13,20,60,-769,-993,-10,-17,-30,90,-396,-259,-211,22,-21,130,893,542,97,46,52,-41,-646,211,304,37,-37,38,429,929,-232,20,-31,-70,-346,95,-122,2,-14,305,422,3185,1080,-16,49,-90,753,1598,-214,-55,-25,-179,-1635,349,50,-35,73,12,1242,254,-135,-48,-41,-48,-1011,965,-881,-6,-64,-130,1028,-534,496,-38,-20,-47,-681,-156,215,65,117,0,1181,-549,-275,2,-34,-129,-1141,-783,-54,66,24,75,425,-1129,-54,right
11,-106,-139,-1000,-1280,389,20,27,226,897,-30,-704,-24,-50,-165,-342,-1415,711,-3,98,111,-118,-257,-116,-38,-6,0,217,-375,-490,-14,-32,20,-567,-753,396,4,30,83,446,-299,-109,-10,-30,49,36,-180,251,1,-6,-7,497,-10,10,37,92,117,-417,45,229,58,-73,-17,806,1028,-734,34,72,23,-664,429,-178,2,-63,-25,-357,466,-139,13,-30,26,212,748,352,24,-7,-54,-12,258,117,16,7,-12,-64,327,22,-8,13,-24,269,22,94,-6,-6,-45,-195,209,24,2,7,-5,301,-173,-3,-6,6,-16,-196,3,-51,right
1,-2,167,-83,437,391,-28,19,33,497,547,118,-6,8,30,119,914,-424,-43,8,-113,-425,330,241,-33,-55,-12,-467,538,-177,-17,35,-73,502,165,-22,-29,-50,-30,-181,135,-132,3,-16,-95,113,2,22,30,55,65,152,-757,236,-13,14,12,-75,313,47,28,44,-34,390,43,-536,7,-32,-112,-443,-688,255,-46,-181,-339,1114,-2679,680,118,174,499,-2126,855,93,-73,-46,-203,1070,-1100,-621,25,33,107,-457,70,-146,-29,-20,-84,363,-833,-144,-33,4,51,-709,-800,411,16,54,89,834,-448,-339,-26,-36,18,-479,-299,-120,right
-12,-5,123,-292,-130,196,45,9,47,788,578,42,43,41,30,-178,443,-133,18,-63,-62,-60,600,-71,9,8,5,203,94,-100,25,13,28,-48,608,297,23,14,-48,420,130,-232,-7,-53,22,-916,654,-211,15,18,-35,356,-28,351,-9,-21,-29,-269,452,-61,-133,-18,84,-170,2333,812,29,140,-9,1119,345,-355,-58,-66,-162,-508,516,-225,28,-59,-51,-675,-625,304,30,80,46,1177,122,-398,1,-11,-61,-1017,-446,-35,-4,-72,43,334,-425,-63,28,98,-12,481,-361,-138,-25,-22,-58,1061,-248,-1035,47,-39,19,-1359,-2074,2457,right
23,30,-34,-1185,536,-1564,-66,-34,-1,867,-1268,489,-9,3,59,-685,362,-259,-28,-38,-51,640,-753,168,13,54,102,-97,-443,55,14,-14,27,370,-183,-80,1,20,31,-682,-464,196,19,12,64,1048,383,-223,-13,-3,23,-647,-411,96,27,-63,-26,521,997,-422,8,5,23,-244,-165,640,15,38,13,-153,626,-278,43,21,5,377,541,-51,8,-48,-55,-715,325,-68,13,3,66,493,203,197,-2,1,-80,-51,436,-142,3,22,7,210,-8,39,-7,-5,-36,-274,213,86,2,-1,-21,224,-141,-47,-4,-19,-16,-296,-107,-145,right
-4,4,166,-114,455,426,-12,2,74,521,811,-118,-32,27,-88,110,657,24,-20,-70,-115,-694,305,-50,1,82,17,512,-227,79,-16,-37,-18,-297,366,-389,1,15,-46,345,-319,229,-10,-12,68,-173,343,-171,-23,10,-63,149,-174,462,8,-25,-57,-69,261,-535,28,51,17,-150,-556,640,-7,10,-4,396,173,-360,26,6,-54,-458,-353,-613,-12,-86,-57,-64,-755,629,-5,-15,-33,373,-610,-301,-2,39,-12,-194,-1215,159,-21,47,105,-270,-523,128,-17,-22,-10,-94,-314,-335,-47,-85,-4,-28,-487,-26,12,54,40,392,-581,489,right
-5,40,72,-288,-247,166,35,49,25,132,85,-352,14,-17,73,9,111,-197,24,-24,-17,83,413,-57,19,-10,78,-32,122,-313,22,-25,22,3,809,205,20,-15,-11,76,572,51,20,-5,-11,-302,497,295,16,30,-50,656,477,-169,0,-13,-80,-507,-18,73,
