AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
3,71,162,-6248,-621,958,1,120,63,1140,381,382,-15,129,3,1419,208,-335,20,10,23,-412,-441,-3,-57,158,-3,1515,450,-378,20,13,-59,664,256,-712,35,-27,-35,1151,-48,-8,10,-3,-9,915,-371,269,-28,24,56,161,150,-172,1,-3,12,691,195,-118,0,22,1,412,134,-201,4,-16,-26,2025,472,-272,8,-105,-1,2083,-473,122,15,-131,80,-1099,321,15,8,-35,-26,-531,227,100,-9,-14,-51,1310,110,-569,9,-140,-19,-774,-158,-347,8,-46,-48,-559,106,464,4,-19,-54,-462,-205,289,-19,-19,-66,-1219,-324,-172,tilt_left
1,-17,7,-1606,-318,385,-15,61,-11,772,116,106,10,-59,-17,-1197,-212,-35,-12,24,-2,482,92,174,3,-7,2,-460,-11,110,-6,20,1,-137,-15,-231,10,-30,-2,201,-17,220,-5,32,9,-86,-1,-78,1,-7,-2,-80,25,-41,-1,-9,2,-36,-24,84,-26,105,116,-6549,-1064,472,34,15,87,249,183,-950,0,-15,39,-1519,-45,820,-31,258,-47,3994,919,1469,8,28,48,-246,-109,-935,-36,128,-79,1111,363,-412,4,-17,-24,577,-414,-141,14,21,-27,939,-78,8,2,4,4,1055,-200,227,-43,18,35,230,471,-450,tilt_left
0,10,-48,729,4,-230,25,-35,66,-296,74,-22,-8,56,-65,667,-18,-57,-17,-3,57,1330,514,-510,44,-40,-38,1712,-163,-30,-12,-101,76,3219,891,-89,53,-188,24,-1055,-260,285,6,-47,32,-1006,183,420,27,-55,-71,-662,57,-355,-6,-55,-32,-94,-196,-308,10,-57,-55,-653,-131,182,-17,-3,-28,-394,13,-156,-6,-25,-51,-1649,-357,-123,-14,19,-19,-242,-179,268,-1,-28,-17,-920,-251,231,-10,11,-3,-132,-133,190,9,-18,2,-629,-108,120,-8,36,-3,523,95,-122,5,-44,0,-674,-121,200,-11,39,9,489,84,-94,tilt_left
-4,24,155,-8899,-996,804,8,201,3,701,167,-327,1,66,75,1690,891,395,-7,147,-64,3738,95,4,-8,0,35,-310,-254,-203,-5,65,-66,334,134,-158,-1,-11,-41,929,-149,328,-11,33,1,1315,128,162,-39,55,56,21,-10,-775,7,-20,-49,346,-73,-404,25,-49,16,411,54,151,-8,44,-8,263,24,-24,10,-7,32,578,97,-104,-13,23,-14,1724,238,-114,-14,-112,48,3935,1004,-168,90,-170,52,-1782,14,349,-35,47,13,-230,-218,-168,31,-126,13,-206,85,-291,12,-50,-20,-896,-288,-110,-5,-55,-34,-155,-128,-423,tilt_left
13,-79,-34,-492,97,372,1,-22,-69,-569,-211,-56,-5,3,0,-569,-229,397,-10,-9,-36,-457,-65,-145,-7,7,-22,-375,-9,190,-24,15,-12,836,294,-90,37,-114,-44,-1516,-819,352,-36,101,14,119,139,-67,15,-54,1,-427,-116,92,-9,26,-5,-376,3,124,-4,67,146,-8003,-1399,1022,-2,164,32,-47,-194,-505,-22,134,26,2551,723,312,-22,66,22,1145,489,-346,3,87,-82,1544,185,-312,-6,1,15,796,108,410,-12,54,-72,1939,133,-317,6,-37,100,552,-13,-52,-18,28,-21,-194,131,-302,12,-42,-13,189,-16,1,tilt_left
-4,11,7,60,-21,-82,7,8,2,354,161,19,-25,64,-6,2139,608,-506,44,-97,24,2390,542,-299,27,-108,51,-76,-590,151,3,-68,31,1121,868,-350,33,-114,-36,-1062,-675,368,17,-102,6,-599,300,183,10,-23,-55,-551,-165,227,-2,-34,-59,-26,55,-279,5,-46,-61,-891,-320,-20,-17,13,-26,-1335,-353,37,4,-40,-23,-1258,-450,267,-20,33,12,182,237,57,12,-30,-19,-647,-232,231,-8,29,-5,60,-1,-54,-4,-15,20,8,-1,-1,1,3,-12,140,16,75,1,2,4,-154,-79,29,-7,24,-5,-101,69,-117,tilt_left
-16,42,151,-7996,-820,509,-9,199,20,235,-60,-127,3,116,59,7000,916,200,10,-70,70,-2440,-481,-261,-19,89,-30,2872,374,109,14,6,4,-550,-23,-395,-1,-4,-8,991,6,60,5,-16,24,211,45,-67,-6,7,1,-83,37,150,5,6,-4,289,55,-89,-11,36,5,1342,201,-177,6,-54,-21,3143,354,-19,17,-162,26,-140,353,41,9,-33,-75,175,-299,-97,4,-91,-35,16,279,-309,6,-48,-90,-887,-291,-181,-10,-59,2,-950,-261,119,-14,6,-54,-978,-8,115,5,-3,-17,-1021,-295,388,-15,28,-22,-381,-49,-54,tilt_left
7,-28,-24,-321,5,-110,-7,-14,17,-271,-125,299,1,9,-8,59,95,-51,1,9,-4,-324,-76,54,-4,7,6,162,-7,-43,-2,15,7,-167,38,-16,1,-26,-3,149,-8,34,-4,17,4,-38,5,31,5,-7,-6,2,21,-30,-2,4,3,144,14,7,-1,101,143,-7561,-950,236,8,122,91,2685,616,111,2,44,35,2039,77,284,-14,28,48,-1421,19,-127,-5,108,-77,697,410,-81,19,38,-5,1873,-85,-66,-2,11,-2,79,-108,44,-10,20,-12,1016,28,-262,7,-11,-4,375,-83,22,-11,2,13,311,35,-75,tilt_left
6,8,4,47,63,-78,1,11,17,630,115,-57,4,27,-12,2318,313,-178,5,-98,-19,3588,339,45,-8,-148,63,-78,906,-807,48,-155,-73,-2376,-978,299,-31,3,8,-304,189,-47,16,-41,-82,314,57,-168,-12,-48,-62,-781,-261,-180,-3,-28,-46,-894,-412,251,-20,-17,-24,-1305,-23,337,4,11,-16,-1188,-173,358,-17,19,-10,131,-9,17,10,-28,1,-747,-183,107,-4,17,18,292,59,76,0,5,2,96,26,-34,2,-5,-1,-108,33,-93,3,-10,-6,129,-76,148,-5,4,17,-17,21,-42,3,5,-10,94,8,44,tilt_left
27,102,139,-7139,-625,590,-1,116,76,778,196,20,-5,135,19,2937,422,180,-10,-5,42,-634,137,-317,12,119,-51,1620,105,-356,30,-5,-33,1420,-227,242,-24,25,28,1565,-193,-174,-3,-35,50,-81,111,-324,8,-19,-16,211,61,206,-13,55,3,1205,201,-292,-3,-65,-5,3179,2,-104,18,-159,32,945,805,-225,6,-83,-31,-1506,-709,380,-16,-14,-32,918,763,-569,12,-128,-85,-965,-162,-188,5,-36,-38,-1696,-484,107,-14,1,-36,-590,-28,-12,-3,4,-29,-369,-224,280,-4,-28,-33,-810,-152,100,-28,48,-5,119,17,203,tilt_left
13,-60,-17,-972,37,57,-8,42,-6,142,-89,203,4,-31,8,-201,37,-46,4,36,-10,-80,-21,34,-3,-3,7,-219,-12,-13,3,2,-3,92,-13,-79,0,-13,13,-16,61,8,2,11,-9,96,-53,81,1,-8,-1,-145,-33,25,-1,-14,7,-349,-131,339,-14,37,164,-5868,-656,19,2,88,31,-379,-6,-346,-5,125,35,209,209,-34,9,174,-8,5202,437,700,-34,-19,131,-940,194,-812,17,56,-86,1619,143,-39,8,-77,53,313,117,-349,32,33,-66,922,-363,583,-44,-5,92,336,165,-301,24,-6,-26,728,37,177,tilt_left
-13,-41,-4,2148,395,-30,13,-100,-6,1010,80,290,-6,-51,-39,1002,629,-295,26,-102,-67,-739,-57,-332,12,-55,-95,-133,118,-149,3,-50,-59,-1585,-682,-143,-17,3,-14,-1411,-330,192,-9,-13,0,-1383,-166,86,-16,32,-28,354,129,99,19,-39,-12,-788,-58,118,-23,30,6,-72,-28,13,15,-26,3,-176,1,6,-9,14,-4,160,-179,181,-5,11,10,-174,112,-175,8,-12,-3,25,-36,98,-1,1,-3,-42,-48,28,-1,3,7,129,58,-20,2,-6,-2,-135,-18,27,-6,9,-4,123,-12,-14,-2,-4,18,-91,-21,-2,tilt_left
8,3,155,-6373,-576,468,-7,119,58,-666,568,-283,5,151,11,1531,558,-120,10,109,2,3171,240,-108,47,37,-25,797,-696,372,-11,26,-12,2043,-907,69,-33,-72,117,382,389,-323,-1,4,-4,-665,255,107,-14,20,-14,410,134,-279,18,-47,15,-130,161,-69,-1,47,-25,912,-64,182,2,-35,-17,2311,34,63,-16,-90,13,1086,181,-86,19,-107,-12,-233,93,111,-9,-56,-57,15,377,-180,15,-70,-56,-175,15,-147,5,-14,-46,-638,-108,38,-6,-35,-61,-958,-100,-112,-10,21,-16,-1290,-284,-22,-6,10,-24,-196,-24,-181,tilt_left
-8,-31,-38,-42,-161,1,0,2,15,-733,-96,301,-10,16,-19,-287,-54,80,12,-13,20,-179,-2,119,-11,0,-15,103,107,40,12,12,0,-45,-4,-35,-7,-5,4,-158,-27,-80,3,-6,-1,218,3,151,0,16,7,-98,-6,-33,3,-1,-11,-47,15,-8,15,8,161,-4404,-547,340,-7,48,72,-387,158,-75,4,83,7,-192,40,-99,-6,82,36,1149,288,25,-1,78,11,93,-31,181,-9,118,-10,2605,123,7,12,-15,29,886,-94,-425,4,-26,13,579,-85,159,-13,-9,15,-202,53,-194,-14,21,-1,358,-50,9,tilt_left
18,-36,20,-359,311,-263,-4,1,-26,214,78,44,11,0,-7,539,49,48,12,3,-31,2466,156,290,-31,-67,36,867,337,-318,43,-107,-63,593,-75,-323,-7,-98,-5,-400,195,239,11,-27,-61,-884,-205,-158,-15,-22,-59,530,29,-185,2,-57,-59,-1138,-327,81,-4,-3,-36,-1381,-251,76,-5,12,-8,-567,-226,381,-9,-12,14,-338,133,-55,1,0,-23,-670,-117,84,11,-7,12,86,-1,80,-14,24,3,-1,34,-50,4,-3,0,182,32,37,5,-5,3,-360,-71,50,-7,3,5,266,78,-21,3,7,-4,-192,-11,-42,tilt_left
