AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
-73,65,-126,5412,450,-951,17,53,-34,297,329,127,-21,117,19,-1670,105,733,-23,103,-2,-2056,-151,-179,-18,33,-43,-703,-254,-142,-4,19,19,249,-237,-120,12,1,59,-637,-181,-6,5,16,-17,-699,-62,428,-4,11,3,-235,-124,217,-15,19,34,-234,132,89,-1,6,-28,-919,-206,-159,17,-51,-48,-487,-33,677,-36,-18,20,-2390,-616,458,10,-56,-43,1271,523,-249,11,-66,40,400,-18,-6,-8,-6,-51,-935,-794,287,29,-80,16,286,-19,-205,-4,-23,14,-523,-358,-122,58,-70,40,844,485,-78,5,7,18,585,315,-419,tilt_right
25,-49,12,867,683,-504,-6,1,16,109,9,95,-7,-4,26,-336,-17,-263,15,-51,3,-206,-160,745,-26,60,22,521,6,-283,31,-52,6,254,-7,-281,-2,11,15,147,-41,239,-3,0,2,428,161,-385,9,-26,1,-329,-227,373,-6,24,13,260,27,-109,-39,120,-122,5237,1443,-489,-39,104,-61,286,345,-359,-30,84,-27,-72,-286,-403,16,66,80,-1233,-734,875,-3,86,49,-1295,-851,-479,15,4,21,-895,306,-488,18,5,5,-853,124,807,3,15,-11,-411,3,286,-3,13,13,-739,-138,263,0,-13,0,-195,-14,472,tilt_right
-21,-25,4,-1939,-182,418,-26,0,-79,-1421,-288,286,9,-55,-35,884,34,-241,-39,20,-8,1354,311,-217,14,-98,27,-2287,-772,519,10,-19,-57,1057,29,-577,23,-96,30,-1143,-297,518,12,-6,-18,443,-254,-382,29,-90,38,948,845,-204,6,-14,30,699,140,-411,15,-32,11,407,693,-298,15,-35,-12,-872,-892,295,15,-35,21,-493,-361,713,-28,57,69,991,409,-898,57,-84,23,-84,-29,294,-39,66,23,1442,626,-448,28,-65,-1,-34,-24,-350,-4,-13,-3,187,-121,485,-15,29,12,247,9,50,12,6,15,-55,53,-159,tilt_right
-30,19,-172,6098,904,-1189,-30,116,-61,-19,-160,240,-39,118,-14,1164,886,76,30,76,49,-1770,-626,4,-4,99,98,-3504,-826,755,-36,62,-31,-776,-107,-409,38,-38,40,-1045,93,275,-1,16,-35,-870,-223,429,-9,11,-34,1,-73,18,4,-19,30,-873,-4,244,-3,-60,-33,-2197,-565,293,-39,-43,-22,-967,685,231,60,-54,-151,1353,-1663,-93,-22,-75,146,737,1517,44,-1,14,-34,986,-401,-906,55,-112,12,-1033,51,543,-26,23,11,791,103,-389,21,-75,40,-316,101,134,0,12,-3,113,-354,-220,40,-72,47,713,889,139,tilt_right
-43,34,8,163,-284,-78,26,-31,13,315,243,-45,-7,5,-3,393,-87,48,-11,-12,22,338,284,-229,13,-19,-9,-744,-558,496,-3,31,11,762,249,-300,0,-12,8,472,190,-261,11,-32,-2,-813,-325,405,-23,51,5,526,40,-149,24,-24,1,199,192,-200,-26,13,-159,6712,815,-1507,-21,77,-12,618,-314,971,-14,152,63,-1374,488,662,-20,153,35,-1361,117,87,-29,70,63,-2309,-761,-478,28,17,-40,-1344,-461,82,-13,12,46,-510,30,134,5,-7,9,-875,111,13,5,2,-37,-559,-205,381,-6,-3,13,-412,-237,-57,tilt_right
15,-35,-28,-1429,-213,541,-28,-9,-43,-1642,-406,-227,2,-63,-72,1465,1008,-30,11,-51,-10,-786,-1360,95,30,-102,9,415,449,-49,-6,-20,21,110,161,261,25,-51,-6,108,-415,-211,12,-27,28,1149,616,-168,27,-59,21,27,-278,-357,-18,11,-3,1563,1050,-5,9,-16,21,-1484,-995,-24,29,-46,22,-94,-86,232,-15,14,7,816,449,-22,1,-14,27,255,159,-191,30,-20,-19,-643,-495,268,-23,24,33,825,427,-211,10,-14,13,651,263,-102,3,-3,5,-340,-103,30,-7,4,-7,192,109,-72,-1,-3,3,-80,-56,91,tilt_right
-66,56,-152,5949,978,-1546,-11,64,-16,-154,-156,607,-17,141,41,-2543,-573,353,3,71,-38,-356,-73,-259,26,6,16,-256,43,701,-31,53,33,484,-148,375,3,38,93,-842,137,-41,1,37,-23,-2107,-329,-153,-9,25,-35,256,103,-23,3,-26,43,-1008,196,-165,13,-19,-54,-1329,-242,254,4,-19,-47,-82,-313,434,-12,-53,31,-1894,-343,560,-28,-18,-61,306,517,-212,35,-135,-22,-367,-491,637,-26,19,6,1603,8,-757,44,-108,54,-1240,-614,187,9,6,4,1108,452,-595,23,-79,45,1316,928,-83,4,-10,-27,-741,-1022,-24,tilt_right
5,-16,48,858,716,-40,15,-24,27,-321,-143,-28,0,7,10,348,161,77,0,-14,11,568,313,-414,8,-20,-2,-221,-277,160,-3,13,21,39,28,35,-3,4,10,538,125,-114,-6,-10,1,105,25,-37,10,-11,-5,183,-13,92,-9,15,5,-50,-49,32,-56,69,-130,5231,891,-1319,-51,145,-76,1051,451,-683,14,22,-16,-267,-603,-139,40,104,91,-1636,-1008,1493,-5,87,88,-1195,293,-40,22,40,-14,-1335,-306,454,-34,28,32,-236,380,322,18,-22,37,-2187,-92,-23,2,7,-52,-710,119,706,-45,72,-45,-21,-332,-227,tilt_right
25,-64,28,-989,136,-244,-6,-39,-80,-509,-292,253,-36,-22,4,149,399,264,7,-40,-62,-1478,-1438,-509,28,-109,52,2414,1705,191,-10,-7,-36,-1956,-857,568,10,-75,27,217,482,34,5,-7,-43,646,-588,-215,17,-92,49,653,487,-157,-2,5,4,59,-610,-219,31,-47,41,411,554,39,8,5,6,-261,-296,-17,4,-33,5,675,616,-186,15,1,33,359,-205,-189,3,3,30,45,2,-123,11,-46,11,148,48,-67,-11,18,4,-145,-194,197,8,-13,16,247,69,-142,1,-5,4,321,156,50,0,7,-2,30,-5,29,tilt_right
-34,106,-142,5380,892,-1184,-17,-54,29,369,-99,-560,24,52,-13,-1387,314,832,-65,139,-61,1116,346,-147,-8,68,-12,-456,37,453,-18,91,48,-1250,-995,593,-15,44,52,-1468,-337,-185,13,4,9,-959,229,-49,-15,44,-6,-1077,-410,37,13,-27,14,-454,104,-62,5,3,-33,-838,-145,129,5,-4,-28,-952,-549,127,9,-94,29,-2174,-84,647,-36,6,-75,750,727,-337,85,-209,-14,687,-98,843,-88,116,-2,252,-1316,-346,78,-128,41,-31,907,-230,-6,-17,8,169,-108,-116,28,-41,6,-286,-60,-73,10,-39,50,-44,-378,-59,tilt_right
