AccX1	AccY1	AccZ1	GyrX1	GyrY1	GyrZ1	AccX2	AccY2	AccZ2	GyrX2	GyrY2	GyrZ2	AccX3	AccY3	AccZ3	GyrX3	GyrY3	GyrZ3	AccX4	AccY4	AccZ4	GyrX4	GyrY4	GyrZ4	AccX5	AccY5	AccZ5	GyrX5	GyrY5	GyrZ5	AccX6	AccY6	AccZ6	GyrX6	GyrY6	GyrZ6	AccX7	AccY7	AccZ7	GyrX7	GyrY7	GyrZ7	AccX8	AccY8	AccZ8	GyrX8	GyrY8	GyrZ8	AccX9	AccY9	AccZ9	GyrX9	GyrY9	GyrZ9	AccX10	AccY10	AccZ10	GyrX10	GyrY10	GyrZ10	AccX11	AccY11	AccZ11	GyrX11	GyrY11	GyrZ11	AccX12	AccY12	AccZ12	GyrX12	GyrY12	GyrZ12	AccX13	AccY13	AccZ13	GyrX13	GyrY13	GyrZ13	AccX14	AccY14	AccZ14	GyrX14	GyrY14	GyrZ14	AccX15	AccY15	AccZ15	GyrX15	GyrY15	GyrZ15	AccX16	AccY16	AccZ16	GyrX16	GyrY16	GyrZ16	AccX17	AccY17	AccZ17	GyrX17	GyrY17	GyrZ17	AccX18	AccY18	AccZ18	GyrX18	GyrY18	GyrZ18	AccX19	AccY19	AccZ19	GyrX19	GyrY19	GyrZ19	AccX20	AccY20	AccZ20	GyrX20	GyrY20	GyrZ20	Label
-63	-117	-10	-93	130	-780	12	37	3	73	-520	-188	-141	-195	48	-1144	400	-524	-7	-65	-8	480	-92	-273	-47	-201	5	-347	-533	648	-48	-37	68	903	-416	987	53	0	-61	141	776	343	39	95	26	241	77	178	16	77	-41	213	-74	135	-4	25	6	-125	-124	217	5	46	3	-75	13	-117	-2	-5	15	-46	1	-57	7	-7	-1	55	4	51	0	-13	-3	-125	11	-6	5	9	11	47	14	42	4	5	-1	101	81	-61	-1	-13	-12	-43	17	-11	4	10	-3	25	-21	10	-5	1	4	-55	-57	51	0	-2	13	-30	130	-70	up
-62	-154	35	1329	-42	2211	41	176	-42	-76	-642	427	21	97	59	-155	318	-468	80	75	-109	-147	-8	-619	17	133	37	-421	-420	-26	35	109	33	-331	755	-1228	43	-23	-62	174	320	-723	36	-26	-52	-370	56	-615	-78	-77	4	-894	-559	-260	-69	-26	112	436	603	-1004	-24	-105	-27	-627	-456	-183	-140	-320	42	494	451	-590	44	-87	-96	-484	-1024	1804	13	0	49	899	635	478	66	73	-39	29	-16	446	-12	72	43	346	-110	255	5	26	-28	-199	216	-27	8	28	1	-57	-248	352	-4	37	19	9	127	-294	2	-15	-14	35	-81	-103	up
-16	-6	21	-51	-114	107	6	3	0	107	151	-62	0	-12	-5	-74	0	88	1	19	11	84	37	5	5	10	-6	-7	-24	-39	4	-10	-7	-28	43	50	-4	0	1	45	-109	87	0	-7	1	-21	-10	-116	-6	13	15	13	117	-42	11	-7	-17	-4	-81	3	-20	-154	-4	-351	179	-651	-4	-70	-30	279	-265	1339	-8	0	44	817	-106	568	-30	0	20	165	-37	402	6	106	20	270	-29	539	-3	222	-20	-257	-582	249	39	150	52	-649	523	-404	85	135	-64	72	473	-1014	47	-16	-27	46	114	-406	76	2	-54	-103	54	-605	up
-3	27	-30	-475	126	-687	-47	-55	43	-295	-493	-535	-93	-139	13	-368	378	-587	-52	-56	112	679	-67	-99	-44	-224	-62	-1037	531	-524	32	-53	-21	365	-1061	611	-59	-99	-9	4	314	483	-3	13	34	646	178	427	45	89	-30	61	-295	471	7	49	19	-25	102	512	10	7	-26	-4	131	-127	-3	43	7	105	-267	217	3	35	19	96	-12	-56	-6	-18	-1	-111	68	0	4	14	12	118	-13	-72	1	3	-7	-79	20	-57	-8	-16	16	-18	76	19	13	2	-24	59	18	-47	-4	-2	-1	-16	-60	42	-8	15	17	7	-9	64	up
-3	-155	-4	-62	-185	351	-4	-29	63	197	556	140	25	-50	-144	435	-290	490	-72	67	123	-21	-689	1295	18	151	57	610	493	-167	56	160	-66	-1	-86	109	33	44	-46	-272	196	-619	64	92	-33	-290	-85	-375	52	50	13	-3	72	-725	43	-37	-65	-605	291	-363	12	24	15	56	-171	-517	-15	-47	-8	-191	1	-545	-65	-117	32	-487	-140	-116	-25	-27	45	198	297	-155	-10	-55	-16	-366	123	-229	-22	-10	40	337	-167	-114	-41	-139	-82	-859	-24	365	-5	47	82	1237	-311	-45	20	-10	-14	-461	115	-71	-17	-66	-14	362	-113	107	up
-23	-1	-28	-233	178	368	-20	-11	34	388	-158	-29	-1	11	-14	-50	115	336	-9	5	22	-205	-51	505	27	57	-11	188	45	-12	-4	14	9	134	-83	84	2	15	-2	-101	66	-24	-1	33	12	31	-17	0	3	-23	-14	-84	43	-49	2	9	13	70	-14	-134	-12	169	19	1298	-132	2562	56	150	-33	4	125	-825	68	-4	-46	-811	-418	-788	9	3	52	-215	564	-514	68	-66	-102	-82	-24	-465	-18	19	38	-312	-43	11	28	-35	-9	127	90	-642	-40	-45	5	-749	-211	-120	-49	-22	58	283	156	-211	-2	18	45	-226	302	-431	up
-73	-132	-58	-317	-128	-266	22	67	82	292	-523	130	-101	-174	-34	-248	577	-263	-34	-75	-15	1078	-175	-409	-1	-109	-106	-335	-301	568	-34	0	89	-145	-125	1445	45	146	45	420	515	291	60	62	-62	-57	-279	242	-18	-25	2	19	65	-220	-8	22	14	6	-148	351	10	38	12	-50	17	-99	2	3	3	65	96	-197	3	-4	-3	-2	57	-201	12	-26	-12	-53	-181	248	-9	0	13	49	74	-125	-4	-1	1	14	37	28	7	17	0	-32	33	51	4	12	-1	-2	47	-62	2	-19	-13	17	-84	-15	-10	-15	24	17	46	127	up
-9	-155	-50	-583	222	-1105	-49	-55	23	1215	-199	1758	-39	0	49	-165	-221	1625	31	35	12	701	263	308	30	236	-36	-242	-345	230	29	111	19	-105	-206	-757	67	169	-51	-120	-53	-566	38	-24	43	-87	199	-614	69	26	-46	-363	363	-416	36	-36	-25	-101	-5	-484	24	20	-17	-342	219	-393	-19	-22	8	52	40	-622	-42	-69	-2	-372	-252	55	-49	14	69	162	-33	-226	-31	-38	1	-321	559	-486	-60	-92	-43	-154	-281	-387	44	-64	-5	-38	-368	148	-83	-149	10	606	-161	-656	-44	-117	24	-221	516	805	65	0	-82	-176	-387	773	up
-14	50	54	573	-206	555	-1	67	26	43	411	478	31	66	-28	18	-325	191	-18	92	60	47	130	-314	10	-42	-25	-134	246	-66	13	-11	-40	3	-216	31	-25	-3	48	87	13	-11	9	-4	-11	52	184	62	0	6	-5	-51	-16	7	14	13	-22	-44	-99	-42	-106	-45	116	850	151	2655	97	117	-104	404	-213	-239	8	128	20	-299	-386	-113	66	73	-41	-427	-7	-742	28	65	65	-102	303	-481	59	-15	-76	-434	466	-676	40	84	22	230	19	-472	-5	-61	-68	-447	-151	-873	-63	-8	90	-161	-408	-377	-66	-122	-16	-382	667	-556	up
-22	-19	46	499	-188	-769	-85	-219	1	-1213	146	-107	-28	-131	-12	1138	-521	-55	-51	-81	9	-407	48	939	76	0	-65	179	-69	1389	-19	57	61	616	72	205	37	55	-13	170	-21	348	0	25	0	-183	20	448	15	134	8	99	-51	35	5	20	-9	-113	203	-652	3	-64	-24	-164	-177	-44	-16	-8	37	230	-35	71	5	-5	2	4	117	79	9	19	-14	-41	95	-60	-6	11	5	36	-72	-64	-6	-73	-11	-274	35	-234	-28	-121	20	-241	97	249	8	-19	-14	411	-12	745	-9	16	34	675	61	422	-7	-2	-5	-175	33	512	up
