AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
-38,-159,-42,-435,180,-764,-36,-20,34,617,-147,899,-17,-41,-50,-17,-331,636,-14,0,50,859,-212,1254,39,132,-24,185,-478,402,62,187,30,-263,136,-555,26,63,13,-368,48,-411,-12,32,-21,-225,84,-478,27,31,12,-145,59,-362,30,0,-16,5,575,-284,44,-93,-101,-446,-100,-119,11,124,96,18,107,-405,-20,-46,-41,-165,226,-634,-36,-35,52,-19,-201,-237,-30,-48,24,-270,-26,158,-61,-88,-30,-238,514,-612,11,25,48,525,-493,-120,-9,-106,-79,-238,191,-166,-34,-32,5,-621,-984,1210,-63,-120,40,1040,449,-518,up
29,93,36,299,372,661,17,-71,-79,-197,245,-245,14,71,-12,-229,-648,972,-12,94,84,284,318,-97,3,7,-37,135,70,-136,-5,9,4,-169,-75,85,11,19,5,-7,79,-46,0,-18,-6,-59,-15,-20,-7,-15,18,95,-29,-42,10,22,-23,156,101,22,-1,-155,-21,-789,-216,-243,-40,-82,52,89,420,614,15,0,-65,1385,-171,691,-116,0,136,701,-110,1415,61,208,-38,649,-972,656,38,274,28,-833,-493,-554,-11,131,63,-957,1325,-368,185,316,-104,-585,497,-1840,28,-61,2,589,391,-1255,-51,-338,-152,-884,743,-987,up
-43,-148,68,-480,-639,182,-10,-82,-15,53,-248,-51,-56,-118,41,-793,-450,222,-16,-36,29,694,196,-507,8,23,-30,-507,-978,1178,-84,-74,41,670,-98,-478,31,40,-5,649,4,371,-46,-61,27,81,19,264,44,0,-63,-108,705,395,17,59,24,83,-339,742,9,71,5,217,270,-204,9,24,-17,-94,-2,-114,-6,21,35,-141,-75,183,10,-11,-9,171,203,-310,5,-11,-24,-105,-88,104,-2,1,6,-6,-97,-46,-1,1,18,30,23,70,7,18,3,98,73,-103,1,-14,-17,-26,-47,-19,-2,-7,3,-92,-22,50,up
-87,-135,25,666,-374,2432,83,283,78,37,-598,191,47,106,-56,475,1027,-1312,38,12,-64,-408,-143,-470,67,21,-51,-414,86,-453,35,1,6,-211,-46,-412,-32,-26,-11,-461,63,-300,16,55,72,145,201,-588,-73,-122,-43,-454,416,-624,-10,1,41,452,-689,-202,-32,-94,-18,-842,410,111,-88,-215,-13,-83,-246,-868,-32,16,81,749,-430,1061,-37,-129,-8,356,715,166,65,30,-106,-113,-411,612,1,95,89,234,-103,393,23,-5,-70,-41,263,425,5,88,15,-27,-313,177,2,46,20,-78,91,-137,2,-13,15,74,31,-173,up
2,-8,-9,-40,64,57,4,-24,-15,-46,-58,79,-6,18,22,63,-42,-2,4,6,6,60,157,-170,5,-4,-18,-87,44,-5,8,-1,-1,22,-133,27,-3,4,3,28,19,-21,1,-1,2,3,4,-54,2,-3,1,55,2,-73,-5,-5,4,-28,25,138,8,-154,-27,313,283,35,-24,-41,10,115,-353,638,-5,11,-5,39,30,436,0,73,13,76,-352,528,13,149,44,344,204,21,54,109,-61,-573,-517,111,23,194,93,-113,477,-63,92,34,-82,211,557,-1535,14,-90,-64,-333,-119,-238,12,70,34,-350,53,-498,up
-63,-117,-10,-93,130,-780,12,37,3,73,-520,-188,-141,-195,48,-1144,400,-524,-7,-65,-8,480,-92,-273,-47,-201,5,-347,-533,648,-48,-37,68,903,-416,987,53,0,-61,141,776,343,39,95,26,241,77,178,16,77,-41,213,-74,135,-4,25,6,-125,-124,217,5,46,3,-75,13,-117,-2,-5,15,-46,1,-57,7,-7,-1,55,4,51,0,-13,-3,-125,11,-6,5,9,11,47,14,42,4,5,-1,101,81,-61,-1,-13,-12,-43,17,-11,4,10,-3,25,-21,10,-5,1,4,-55,-57,51,0,-2,13,-30,130,-70,up
-62,-154,35,1329,-42,2211,41,176,-42,-76,-642,427,21,97,59,-155,318,-468,80,75,-109,-147,-8,-619,17,133,37,-421,-420,-26,35,109,33,-331,755,-1228,43,-23,-62,174,320,-723,36,-26,-52,-370,56,-615,-78,-77,4,-894,-559,-260,-69,-26,112,436,603,-1004,-24,-105,-27,-627,-456,-183,-140,-320,42,494,451,-590,44,-87,-96,-484,-1024,1804,13,0,49,899,635,478,66,73,-39,29,-16,446,-12,72,43,346,-110,255,5,26,-28,-199,216,-27,8,28,1,-57,-248,352,-4,37,19,9,127,-294,2,-15,-14,35,-81,-103,up
-16,-6,21,-51,-114,107,6,3,0,107,151,-62,0,-12,-5,-74,0,88,1,19,11,84,37,5,5,10,-6,-7,-24,-39,4,-10,-7,-28,43,50,-4,0,1,45,-109,87,0,-7,1,-21,-10,-116,-6,13,15,13,117,-42,11,-7,-17,-4,-81,3,-20,-154,-4,-351,179,-651,-4,-70,-30,279,-265,1339,-8,0,44,817,-106,568,-30,0,20,165,-37,402,6,106,20,270,-29,539,-3,222,-20,-257,-582,249,39,150,52,-649,523,-404,85,135,-64,72,473,-1014,47,-16,-27,46,114,-406,76,2,-54,-103,54,-605,up
-3,27,-30,-475,126,-687,-47,-55,43,-295,-493,-535,-93,-139,13,-368,378,-587,-52,-56,112,679,-67,-99,-44,-224,-62,-1037,531,-524,32,-53,-21,365,-1061,611,-59,-99,-9,4,314,483,-3,13,34,646,178,427,45,89,-30,61,-295,471,7,49,19,-25,102,512,10,7,-26,-4,131,-127,-3,43,7,105,-267,217,3,35,19,96,-12,-56,-6,-18,-1,-111,68,0,4,14,12,118,-13,-72,1,3,-7,-79,20,-57,-8,-16,16,-18,76,19,13,2,-24,59,18,-47,-4,-2,-1,-16,-60,42,-8,15,17,7,-9,64,up
-3,-155,-4,-62,-185,351,-4,-29,63,197,556,140,25,-50,-144,435,-290,490,-72,67,123,-21,-689,1295,18,151,57,610,493,-167,56,160,-66,-1,-86,109,33,44,-46,-272,196,-619,64,92,-33,-290,-85,-375,52,50,13,-3,72,-725,43,-37,-65,-605,291,-363,12,24,15,56,-171,-517,-15,-47,-8,-191,1,-545,-65,-117,32,-487,-140,-116,-25,-27,45,198,297,-155,-10,-55,-16,-366,123,-229,-22,-10,40,337,-167,-114,-41,-139,-82,-859,-24,365,-5,47,82,1237,-311,-45,20,-10,-14,-461,115,-71,-17,-66,-14,362,-113,107,up
