AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
-67,-592,1452,-487,-121,-2743,354,158,770,13902,-161768,12134,365,538,-2953,100121,-341646,-37195,-280,-278,-1309,7195,120731,30853,-412,-210,-333,-95792,191951,-5000,-227,14,332,-73841,306890,-41097,68,-42,625,-48963,205365,-23902,100,349,924,-48536,95061,-24573,370,-271,1585,105792,-38719,33170,-330,31,-228,-5304,-258658,14451,-32,40,-546,17134,-95000,6585,-16,29,-340,12317,-28597,13109,-2,0,-45,2378,9512,1097,27,17,77,-2560,7500,-1463,16,-28,22,3048,365,-121,-5,0,-16,-2073,-4390,60,-17,0,7,1341,-548,-1402,5,14,-25,365,-670,487,6,8,-19,-1646,609,-182,5,-6,21,60,792,121,"up"
-161,10,1885,-1829,-59512,45670,615,-60,-304,97743,-170609,7987,198,338,-2444,26829,-238292,-18841,-372,-508,-1406,-7682,117439,4207,-396,-26,75,-97073,180975,-27195,-255,98,340,-49878,273780,-37987,49,147,522,-45670,173231,-38109,465,-100,398,-28963,108292,609,254,105,2117,100792,-17012,-3048,-308,102,-415,-16341,-230914,30670,-11,25,-345,-304,-87500,25609,-7,-3,-269,21036,-52743,7012,0,-47,-123,13231,-8780,8292,8,24,-75,-10121,2378,-1890,-17,-22,-15,-2073,3231,60,20,11,60,1036,7256,-4329,-1,0,17,426,670,304,-16,-18,-35,487,-4756,670,4,13,-4,-1280,-914,-1463,1,16,-12,1219,975,1158,"up"
-57,15,1327,16158,-52743,39939,347,77,156,22682,-137439,6707,53,32,-1753,47500,-247073,10609,42,-136,-945,7195,4024,7926,-462,-287,-582,-44146,214817,-36219,-483,-155,-328,-49512,211280,-24390,198,101,255,-36768,153292,-31036,404,201,662,-43963,196951,-27560,17,219,1876,31158,71524,-6158,-79,130,760,-914,-137439,16463,-215,-174,-782,31097,-211036,29390,220,-71,-282,18231,-51951,6341,139,67,48,975,-5304,304,-91,-83,-151,-2500,-2073,914,-70,23,-195,-6097,11158,6463,12,68,-224,4939,20548,4146,-35,-45,-105,4390,-2865,8170,138,12,144,5182,6158,-7926,8,-66,-9,-1036,-10975,-2256,22,49,75,-60,-15426,-304,"up"
154,-33,1202,4634,14573,10060,20,105,748,2256,-138841,33780,596,165,-1672,110609,-311036,7317,-407,-13,-1410,-13048,-104329,-18414,-610,-473,-790,-26097,218963,-30792,-322,-45,132,-110914,320000,-19329,221,164,342,-65304,267987,-43231,238,82,823,-23109,125975,-23902,112,379,1768,51219,-107926,15304,-49,-117,-373,42682,-130426,40914,88,-155,-340,42987,-57134,17743,18,0,-302,-60,-70487,18292,41,43,-37,-13780,-28658,-2743,2,-95,-101,6585,-5487,8963,62,-10,74,6951,1707,-2500,-6,96,-20,-19817,-10060,-8536,-44,-24,-50,-4268,-4329,3597,-5,-34,-5,2743,3963,548,-28,-25,141,6219,121,731,46,23,-61,-1219,3353,1646,"up"
-15,95,1003,11890,-3170,7743,756,910,1445,-43719,-123841,37621,-136,-1234,-3376,188170,-431219,57804,-723,-41,-1273,-56463,169146,-52195,-265,-21,143,-99573,268109,-47012,-246,-32,519,-38536,340182,-77256,326,377,1372,-29573,172317,-59024,69,154,667,30060,-75975,61524,233,2,350,17378,-111341,31402,-74,-132,-483,14695,-145121,19634,-72,-58,-212,7926,-49207,7621,26,12,-163,-3902,-14756,975,0,12,-7,-2073,-3353,853,-40,-23,-15,-4634,2134,1463,25,4,28,1158,6097,304,19,-15,19,3109,4695,1341,7,15,-25,914,365,-121,-25,3,13,609,-4146,-243,12,-2,12,2865,-2012,304,-4,-26,-29,-365,-5060,-487,"up"
15,62,1039,21036,-37804,13048,705,269,659,24085,-113597,27865,-47,-369,-2400,42256,-338292,18841,-735,-284,-1482,-32439,46097,11036,-543,-40,-43,-67256,237926,-35975,41,68,515,23353,373292,-91036,221,42,639,-48048,189329,-24085,228,305,1050,-21585,63109,-11219,293,162,926,20548,-114634,26707,60,27,-163,18048,-168841,37256,-161,-119,-364,14207,-87500,21890,-106,-42,-347,-5243,-63780,10304,-24,-53,-52,7256,-426,1890,15,6,-44,-2012,14024,-5853,15,-4,17,2012,10792,-2682,29,36,59,1646,6341,-731,-14,-12,15,-1097,-5792,1707,-19,-19,-14,1463,548,-1341,36,21,10,-1524,-1036,-60,15,-3,-18,-1768,-8536,-426,"up"
53,36,1346,46158,-67926,25304,344,180,150,10121,-154878,31280,-53,-329,-2418,42439,-280670,23048,0,36,-668,-18292,35487,-10487,-836,-399,-759,-78414,248109,-34878,-93,92,498,-26890,377621,-91890,259,112,411,-20182,157134,-35365,193,242,1246,-26585,115121,914,307,-4,857,45731,-75548,27682,20,181,315,2865,-137195,20365,-59,-42,-551,15426,-156768,29268,-141,-112,-403,2439,-72439,18963,-20,12,-77,2621,-6219,-914,-10,-67,-32,10060,14573,4085,25,55,12,-11951,8475,-3109,17,14,103,3902,11890,-1097,0,-8,4,5426,-6280,3536,-13,-4,-54,-2621,-6280,-3048,15,-1,4,1280,2317,914,11,-6,-1,-2134,-1341,-3658,"up"
218,202,1403,29756,-107804,25000,373,92,-1,9817,-156890,35853,-244,-545,-2421,20975,-255426,45121,-539,-334,-1178,-13353,137439,-4756,-443,39,-58,-68658,225304,-53780,55,137,621,13353,350853,-118170,241,205,798,-36951,168048,-52317,257,411,1165,-5243,45914,-792,233,6,516,36341,-114085,70182,11,-153,-91,18597,-108597,29939,-16,0,-355,-11951,-142926,15304,-184,-85,-358,-1768,-62195,13475,4,31,-68,2378,426,-1402,-28,-1,27,7560,10731,1707,4,-57,-7,11097,8231,3048,50,35,26,-10304,-2195,-7134,-41,-13,12,-3902,-3841,1280,0,-11,-16,670,975,-2865,-2,7,-9,-487,1097,-2865,2,24,-4,-609,3414,0,"up"
354,307,1746,21341,-66646,35304,21,-68,-469,32500,-207560,41890,213,-190,-2200,41951,-233475,8902,-589,-300,-1112,-53719,82682,6158,-536,-485,-477,-80853,209451,-17134,-6,178,801,28414,372987,-133109,303,283,450,-25609,179512,-61341,237,220,944,-30853,73048,-6829,32,676,1432,-18658,-94695,46280,-3,-393,-175,70792,-162865,46829,-41,-216,-634,21280,-91402,14085,-29,43,-232,4817,-59878,19756,1,-36,-92,-3780,-2134,-792,35,14,8,-5304,5670,-3048,-3,14,18,-3597,-731,-3414,16,-26,6,5060,-2987,6951,0,9,22,0,304,3719,-20,17,-60,-2378,-2195,-3170,18,-44,45,3109,1097,670,5,20,-17,-2987,304,-1951,"up"
130,237,1181,4695,-53597,14756,318,12,238,38292,-140182,47621,-27,-300,-1728,60182,-276646,40182,-164,-184,-1123,-73719,-8963,5365,-555,-594,-1268,-32378,159024,-1341,-137,125,770,-17926,430243,-143109,246,288,547,914,238597,-102073,140,224,987,-21280,88597,-15243,212,484,1492,7804,-88109,61280,-111,-138,-384,30000,-201158,71707,-20,-83,-283,15304,-97378,16158,-131,-42,-375,-13292,-69573,7926,-16,-54,-41,2195,8170,4329,-16,4,29,-2865,2012,-2317,25,20,-24,1890,487,-1524,-36,-26,-23,670,-548,-1036,10,2,20,426,5182,-670,22,19,25,-1097,2743,-2378,-17,5,-31,-1402,-60,1829,7,5,20,121,1097,-1402,"up"
-4,0,1047,9390,-50365,33536,726,240,826,43475,-137378,32439,-16,-202,-2705,70365,-324512,14634,-83,56,-920,-42012,2987,19207,-1041,-854,-763,-163597,307439,-10243,-154,162,888,95304,383963,-162560,334,376,390,-49878,135000,-54573,195,289,914,-48353,67987,-9146,210,119,1224,55304,-65609,58597,186,21,-115,13048,-90609,27743,-193,-37,-379,12500,-185670,41768,-112,-144,-403,9878,-66463,17073,-10,11,-89,-4085,5060,-2743,-3,-53,7,5609,12682,426,-14,42,44,-6097,5548,-1158,21,-29,27,2804,6829,2195,20,60,17,-5182,-3902,-5426,-29,-33,-37,2621,-6036,2682,8,-5,8,1768,1768,121,15,13,0,-1097,4634,-426,"up"
167,352,1226,13231,-58231,29451,245,-97,-7,39207,-167865,35121,146,-258,-1715,13780,-233841,51097,-408,-673,-1584,-39268,-10426,49329,-770,-269,-450,-87439,213597,-41768,253,232,790,84817,403719,-194878,58,296,335,-44329,145365,-73902,69,152,585,-42500,88536,-13780,643,463,1584,44207,-20792,30548,-17,230,307,-365,-184695,66646,-288,-271,-724,20060,-139817,43170,-136,-149,-346,8902,-60426,26829,31,11,-49,-12134,3841,-6219,-28,-8,-13,-3597,6280,-853,21,9,33,3536,14939,-4268,9,13,19,4207,2743,1219,-4,-10,14,-2073,121,548,8,1,-11,487,-975,548,5,-6,6,-1829,-243,-60,10,4,3,-853,-2439,-182,"up"
174,322,1239,8353,-89390,35304,-64,108,-175,15243,-134329,37439,-260,-674,-2048,7012,-208658,72073,-145,-357,-764,50365,148292,-18963,-197,13,46,-72560,167743,-75243,-115,58,265,-41341,248841,-119085,236,231,566,-20182,168170,-84634,557,801,1208,-36036,67743,-7012,116,-114,605,113719,-140853,79451,-233,-243,-571,-13048,-180304,57012,-124,-93,-283,-12317,-51585,18414,93,-6,-135,5182,-2012,4512,14,-15,-16,5975,4878,1829,-27,0,34,-4451,1585,2256,12,-22,19,-2621,1951,-2317,-5,12,-26,-60,-3902,60,13,0,6,-1707,853,914,10,-6,-5,-1829,121,-304,16,-3,19,2012,-121,-1280,-12,10,-19,-792,-1524,-1402,"up"
204,282,1466,42012,-110304,46280,247,-47,-341,25914,-158902,37012,-208,-385,-2211,-14207,-213902,24573,-583,-502,-1029,-7195,154695,-25365,-365,-2,64,-68414,221097,-59085,8,132,571,4085,302378,-101097,320,179,816,-33414,147256,-40182,406,289,768,4085,26463,-10000,83,425,617,27195,-116768,36219,116,-118,-16,1585,-127378,53353,-187,-206,-371,17987,-91036,28963,-30,-41,-312,2560,-47926,8414,16,-27,-104,1280,3902,3719,0,1,41,-1036,9634,-182,25,17,29,-1402,4817,-1585,-18,4,24,548,182,-182,-7,-18,14,1951,-3780,426,22,6,-7,-1158,-1707,792,-25,-6,-28,-1097,-3475,853,9,-3,0,1219,1097,-609,"up"
